name,geometry
Arret Liberté 6,POINT (-17.4636853 14.7258135)
Arret Liberte 6,POINT (-17.4636752 14.7259445)
,POINT (-17.444648 14.7261725)
,POINT (-17.4567227 14.7263712)
Arret Bus Mamelles,POINT (-17.5012411 14.726695)
,POINT (-17.4525677 14.7268825)
Arret Terrain liberté 6,POINT (-17.4624771 14.7268979)
,POINT (-17.4583123 14.7271221)
,POINT (-17.4566865 14.7272561)
,POINT (-17.458075 14.7276831)
,POINT (-17.4516467 14.727741)
,POINT (-17.4718998 14.7279226)
,POINT (-17.4556864 14.7282389)
Arrêt Avenue Fahd Ben Abdel Aziz,POINT (-17.455351 14.7284268)
,POINT (-17.4902847 14.7291084)
,POINT (-17.4727569 14.7291693)
,POINT (-17.4264541 14.7291907)
,POINT (-17.425269 14.7298318)
,POINT (-17.4991682 14.730068)
,POINT (-17.4989676 14.730727)
,POINT (-17.453225 14.7352258)
,POINT (-17.4661979 14.7154215)
,POINT (-17.4529162 14.7351869)
Terminus Parcelles-Assainies,POINT (-17.4394029 14.7603996)
Port de Dakar,POINT (-17.4325478 14.6739709)
Hôtel de ville,POINT (-17.4321923 14.6718059)
Place de l’Indépendance,POINT (-17.4315741 14.6695126)
,POINT (-17.4326022 14.6695142)
,POINT (-17.4330474 14.6694418)
Alybaba,POINT (-17.4345883 14.6694574)
,POINT (-17.4361145 14.6692576)
Ville,POINT (-17.4386278 14.6691169)
,POINT (-17.4402706 14.6705731)
Arrêt El Malick,POINT (-17.4404423 14.671611)
,POINT (-17.4433605 14.6748817)
Ville,POINT (-17.4439707 14.6756718)
Polyclinique,POINT (-17.4463337 14.6779668)
Stade,POINT (-17.4471505 14.6784889)
Marché Tilène,POINT (-17.4481891 14.6794172)
Marché Tilène,POINT (-17.4485358 14.6799822)
Marché Tilène,POINT (-17.4502967 14.6814319)
Marché Tilène,POINT (-17.4507748 14.6820994)
Medina,POINT (-17.4524284 14.6833902)
Medina,POINT (-17.4525605 14.6837606)
SAHM,POINT (-17.4542992 14.6856378)
Eglise Saint Joseph,POINT (-17.4554847 14.6864512)
Manguiers,POINT (-17.4568862 14.6880625)
Manguiers,POINT (-17.4577499 14.6890347)
Arret Bus Aftu,POINT (-17.4589622 14.6907153)
Arret Bus Aftu,POINT (-17.4597119 14.6910578)
UCAD,POINT (-17.4620743 14.6932398)
UCAD,POINT (-17.4621614 14.6930841)
,POINT (-17.4359454 14.6972263)
,POINT (-17.43604 14.6973736)
,POINT (-17.4328434 14.6729843)
,POINT (-17.4360339 14.6750023)
,POINT (-17.4388467 14.6756332)
,POINT (-17.4388825 14.6756893)
,POINT (-17.4419173 14.6780394)
,POINT (-17.444821 14.6810538)
,POINT (-17.4467334 14.682665)
,POINT (-17.4470795 14.6829158)
,POINT (-17.4484583 14.6843202)
,POINT (-17.4489326 14.6846977)
,POINT (-17.4506671 14.6864249)
,POINT (-17.451003 14.6866592)
121,POINT (-17.4523333 14.6893964)
DDD 121,POINT (-17.4540848 14.6929237)
,POINT (-17.4533848 14.6952652)
Tata,POINT (-17.4545716 14.7006292)
,POINT (-17.4572002 14.7036608)
Arret de bus Dakar dem Dikk,POINT (-17.435394 14.7427341)
Arret de bus Dakar dem dikk,POINT (-17.4259186 14.7449355)
Arret de bus Tata,POINT (-17.4351768 14.742768)
,POINT (-17.4321964 14.6928647)
,POINT (-17.4324795 14.6922887)
,POINT (-17.4332636 14.7177365)
,POINT (-17.4320887 14.6946909)
,POINT (-17.4318502 14.6943947)
,POINT (-17.5022927 14.7511909)
,POINT (-17.5023916 14.7509778)
,POINT (-17.4558199 14.7330019)
,POINT (-17.4547518 14.7339152)
47,POINT (-17.5241334 14.7450271)
"3, 47, 61",POINT (-17.511669 14.7429653)
"217, 218",POINT (-17.5112728 14.742592)
47,POINT (-17.5106769 14.7373891)
Arrêt bus rond point Ngor,POINT (-17.5143999 14.7489389)
Port de Dakar,POINT (-17.4320345 14.6742772)
Patisen,POINT (-17.4306741 14.6728723)
,POINT (-17.4324653 14.6741073)
,POINT (-17.4785904 14.7059066)
Arrêt Clémenceau,POINT (-17.4369275 14.6616769)
,POINT (-17.4353858 14.6577489)
,POINT (-17.4371501 14.6619157)
Arret Hopital Principal,POINT (-17.4349547 14.6625583)
,POINT (-17.4351713 14.662483)
,POINT (-17.4447005 14.6781277)
,POINT (-17.4448185 14.6781381)
,POINT (-17.4448933 14.6840752)
,POINT (-17.4460989 14.6881643)
,POINT (-17.4466514 14.6892547)
,POINT (-17.4476821 14.6923086)
Gare Palais 2,POINT (-17.433433 14.652875)
,POINT (-17.4506466 14.695937)
,POINT (-17.4501665 14.6955841)
,POINT (-17.4479469 14.6929663)
,POINT (-17.4528018 14.6984972)
,POINT (-17.4530898 14.701131)
,POINT (-17.453022 14.7014135)
,POINT (-17.4357569 14.6583678)
,POINT (-17.4372243 14.6658079)
,POINT (-17.4395961 14.6664995)
,POINT (-17.436093 14.6653104)
,POINT (-17.4370024 14.6668421)
,POINT (-17.4530551 14.6850066)
,POINT (-17.4530967 14.6855599)
,POINT (-17.4507672 14.6893354)
,POINT (-17.4501972 14.6903928)
,POINT (-17.4498676 14.691956)
,POINT (-17.4516661 14.6926515)
,POINT (-17.4529079 14.6932871)
,POINT (-17.4532445 14.6933481)
,POINT (-17.454821 14.6948195)
,POINT (-17.4556646 14.6954331)
,POINT (-17.4557175 14.6959941)
,POINT (-17.4580444 14.6983771)
,POINT (-17.4577453 14.6985043)
,POINT (-17.4595799 14.700057)
,POINT (-17.4592876 14.7002335)
,POINT (-17.4616694 14.7023881)
,POINT (-17.4619885 14.7032118)
,POINT (-17.4634597 14.7048148)
,POINT (-17.4642489 14.7052827)
,POINT (-17.4533793 14.7208777)
,POINT (-17.4588631 14.7086102)
,POINT (-17.4612274 14.7057843)
,POINT (-17.4616801 14.7054951)
,POINT (-17.4638989 14.702795)
,POINT (-17.4647277 14.7020193)
,POINT (-17.4659562 14.7004795)
,POINT (-17.4668621 14.6996337)
,POINT (-17.4671048 14.6980712)
,POINT (-17.4666133 14.6960521)
,POINT (-17.4665875 14.6958983)
,POINT (-17.4688691 14.6938795)
,POINT (-17.4688215 14.6938354)
,POINT (-17.4721454 14.6926935)
,POINT (-17.4725343 14.6924963)
,POINT (-17.4688235 14.6845856)
,POINT (-17.4684252 14.6842742)
Arrêt autobus DDD 10,POINT (-17.4655512 14.6775748)
,POINT (-17.4625806 14.678841)
,POINT (-17.4620898 14.6790006)
,POINT (-17.4536515 14.6758935)
,POINT (-17.4534437 14.6753006)
,POINT (-17.4473806 14.6719994)
,POINT (-17.4469943 14.6718379)
,POINT (-17.455225 14.6810801)
,POINT (-17.4542447 14.6833349)
,POINT (-17.4603326 14.6915549)
,POINT (-17.4656057 14.6959684)
,POINT (-17.4561271 14.7117265)
,POINT (-17.4380198 14.6659395)
,POINT (-17.4392884 14.6678778)
,POINT (-17.4471111 14.6759812)
,POINT (-17.4498221 14.6749524)
,POINT (-17.4510352 14.6761317)
Arrêt autobus DDD 23-20,POINT (-17.452843 14.6778533)
,POINT (-17.4547566 14.6796911)
,POINT (-17.4369495 14.6664818)
,POINT (-17.4354636 14.6652129)
Arrêt DDD Av Roi Fahd Ben Abdel Aziz,POINT (-17.4504062 14.7277425)
,POINT (-17.4471915 14.7273015)
,POINT (-17.4550759 14.6809811)
,POINT (-17.4538474 14.678904)
Arrêt autobus DDD 23-18,POINT (-17.4516198 14.6768192)
,POINT (-17.4497369 14.6750367)
,POINT (-17.4469186 14.6762954)
,POINT (-17.444221 14.6825604)
,POINT (-17.4389448 14.669142)
,POINT (-17.4439633 14.6813279)
,POINT (-17.455044 14.7138995)
,POINT (-17.4586364 14.6940657)
,POINT (-17.4570875 14.69669)
,POINT (-17.4549337 14.6989174)
,POINT (-17.4550876 14.7013778)
,POINT (-17.4701018 14.7560389)
,POINT (-17.4583869 14.7050674)
Tata,POINT (-17.4568327 14.7069057)
DDD 4,POINT (-17.4515247 14.6885044)
,POINT (-17.4491853 14.7467942)
,POINT (-17.4503472 14.6907051)
,POINT (-17.4644913 14.7106418)
,POINT (-17.4529279 14.698919)
Terminus L8 Aéroport,POINT (-17.4894464 14.7456071)
,POINT (-17.4686124 14.7547732)
,POINT (-17.4671451 14.7536121)
,POINT (-17.4452116 14.7367004)
,POINT (-17.446129 14.7339169)
,POINT (-17.4462101 14.7314026)
,POINT (-17.4449079 14.7269571)
,POINT (-17.4449495 14.7254619)
,POINT (-17.4469961 14.7221885)
,POINT (-17.4504292 14.7181901)
,POINT (-17.4523091 14.7160071)
,POINT (-17.4335872 14.6527633)
,POINT (-17.4605516 14.6929156)
,POINT (-17.4578189 14.6956291)
,POINT (-17.4592542 14.7061291)
,POINT (-17.451052 14.7175222)
,POINT (-17.4498275 14.7189201)
,POINT (-17.4484624 14.7204735)
,POINT (-17.4464167 14.7396146)
,POINT (-17.4458411 14.7415683)
,POINT (-17.4664489 14.7524521)
,POINT (-17.4676789 14.7538029)
,POINT (-17.469893 14.7550963)
,POINT (-17.4722572 14.7555087)
,POINT (-17.4746264 14.7553578)
,POINT (-17.4896314 14.7462391)
,POINT (-17.4574397 14.7100996)
Terminus Parcelles-Assainies,POINT (-17.439255 14.7604342)
Hôtel de ville,POINT (-17.4320506 14.6718304)
,POINT (-17.4441678 14.7463513)
,POINT (-17.4366222 14.7280907)
Gare Leclerc,POINT (-17.4275808 14.672134)
Terminus Lat-Dior,POINT (-17.441483 14.6692555)
,POINT (-17.4386574 14.7602743)
Arrêt bus GAMBIE,POINT (-17.4389129 14.7599112)
Arrêt mini bus,POINT (-17.4575938 14.7223903)
Terminus Dakar Dem Dikk Liberté 6,POINT (-17.4602421 14.7274328)
,POINT (-17.4516163 14.7500451)
,POINT (-17.4566304 14.6989023)
,POINT (-17.4561985 14.6978412)
,POINT (-17.4544269 14.7004382)
,POINT (-17.4546066 14.700664)
,POINT (-17.4469851 14.7036158)
Dakar Dem Dikk,POINT (-17.446961 14.7039641)
,POINT (-17.4479826 14.7023878)
ARRET BUS TATA,POINT (-17.4532125 14.6953768)
ARRET DE BUS TATA,POINT (-17.4521895 14.6963623)
ARRET DE BUS TATA,POINT (-17.4508275 14.6973004)
ARRET DE BUS TATA,POINT (-17.4477144 14.6983505)
