id,name,lat,lon
4323838582,,14.7513781,-17.4560503
4323838583,,14.7518506,-17.4541757
4323838584,ARRET CITE SOPRIM,14.7518652,-17.4366257
4323838585,,14.7519786,-17.4931153
4323838586,ARRET CITE SOPRIM,14.7522522,-17.4362465
4323838587,,14.7527632,-17.4934814
4323838588,Arrêt DDD L23,14.7538047,-17.4351526
4323839189,,14.7537572,-17.4965176
4323839190,ARRET 22,14.7537739,-17.4337351
4323839191,,14.754016,-17.4466517
4323839192,,14.7540906,-17.4962435
4323839193,ARRET CASE BI,14.7540589,-17.4329962
4323839194,,14.7541614,-17.4868123
4323839195,,14.7543956,-17.487011
4323839196,,14.7544646,-17.446897
4323839197,,14.7552231,-17.4745416
4323839198,Arrêt rue PA-21-05,14.755592,-17.4457662
4323839199,,14.7556592,-17.4741892
4323839200,Arrêt PA U21,14.7555965,-17.4462618
4323839201,Arrêt Ecole Elite,14.7556417,-17.4357892
4323839202,Arret PA U08,14.7557106,-17.4356977
4323839203,,14.7557442,-17.4681105
4323839204,Arrêt PA U24,14.7558066,-17.4471002
4323839205,,14.7558198,-17.4671708
4323839206,,14.7558753,-17.4671822
4323839207,,14.7559508,-17.4701423
4323839208,Arrêt Terrain-Acapes,14.7560153,-17.4472442
4323839209,,14.7560945,-17.4438067
4323839210,,14.7561093,-17.4712023
4323839211,,14.7561617,-17.4750534
4323839212,Arrêt Rue Mame Abdou Aziz Sy,14.7561659,-17.442934
4323839213,,14.7562395,-17.4773998
4323839214,ARRET CASE BI,14.7561852,-17.4298612
4323839215,,14.7564126,-17.4733764
4323839216,,14.7566196,-17.474159
4323839217,Arrêt PA U17,14.7567899,-17.4402797
4323839218,,14.7569209,-17.4778475
4323839219,,14.756932,-17.4391782
4323839220,,14.75702,-17.4664801
4323839221,,14.7570502,-17.4665082
4323839222,Arrêt PA U 13,14.7573403,-17.4371918
4323839223,Arrêt Mairie Parcelles Assainies,14.757473,-17.4369906
4323839225,,14.7584613,-17.4656867
4323839226,,14.7585829,-17.4655717
4323839227,,14.7586742,-17.4291683
4323839228,Arrêt Chez Joe,14.758819,-17.4484495
4323839229,,14.7588649,-17.4363713
4323839230,,14.7589183,-17.482319
4323839231,Arrêt DDD L23,14.758949,-17.4508272
4323839232,Arrêt Croisement BrioheD'orée Diamalaye,14.7589589,-17.4510514
4323839233,Arrêt école Dior,14.7590235,-17.4471448
4323839234,,14.7591249,-17.4825116
4323839235,,14.7594648,-17.4526044
4323839236,Arrêt  PA U20,14.7595475,-17.4444913
4323839237,,14.7595621,-17.4579692
4323839238,,14.7595631,-17.4523611
4323839239,Arrêt PA U19,14.7604762,-17.4482103
4323839240,,14.7596749,-17.4629371
4323839241,,14.7596927,-17.4614023
4323839242,,14.7597215,-17.458577
4323839243,,14.75973,-17.4626912
4323839244,Arrêt Parcelles U20,14.7598113,-17.4436344
4323839245,Arrêt Parcelles U17,14.7601966,-17.4412137
4323839246,Arrêt Parcelles U16,14.7603778,-17.4407327
4323839247,,14.7609468,-17.4376822
4323839248,,14.7610729,-17.4374258
4323839249,Arrêt PA U23,14.7612249,-17.4482508
4323839250,,14.761341,-17.4369089
4323839251,Arrêt croisement Diamalaye-HLM Grand Medine,14.7613501,-17.4505563
4323839253,,14.7615654,-17.4297053
4323839254,Arrêt Ecole Elementaire,14.7615744,-17.4496769
4323839255,ligne 23 DDD,14.761637,-17.4488446
4323839256,,14.7627153,-17.4471612
4323839257,,14.7628108,-17.4471032
4323839258,,14.763146,-17.4372684
4323839259,,14.7632345,-17.4374054
4323839260,,14.7634113,-17.4437128
4323839261,,14.7635263,-17.4437019
4323839262,,14.7641799,-17.4400067
4323839263,,14.764266,-17.4400021
4323839265,,14.7648655,-17.4300858
4323839266,,14.7694006,-17.4299093
4323839267,,14.7694395,-17.4299974
4323839268,,14.7703529,-17.4282784
4323839269,,14.7703948,-17.4282768
4323839270,,14.7706098,-17.4248349
4323839271,,14.7706327,-17.424887
4323839272,,14.7709572,-17.4230785
4323839273,,14.7711325,-17.4227926
4323839274,,14.7723201,-17.4212498
4323839275,,14.7725234,-17.4210349
4323839276,,14.7730721,-17.4194452
4323839277,,14.7734182,-17.418291
